city,coverage,providernum,state,speed12,speed11,speed10,speed9,speed8,speed7,speed6,speed5,speed4,speed3,speed2,speed1
headland,72.1,11,alabama,9.72,70.35,37.01,16.08,60.75,89.42,28.05,17.05,23.54,23.89,5.97,21.89
heflin,16.5,8,alabama,9.45,13.98,22.82,20.97,23.89,65.17,87.91,78.12,37.67,4.97,25.69,38.22
helena,98.5,11,alabama,61.93,68.98,98.05,66.92,241,120.4,119.77,119.62,133.71,128.38,117.97,111.01
henagar,99.6,8,alabama,76.79,291.17,57.51,42.38,65.01,44.39,40.68,49.19,58.49,82.18,62.76,66.19
horton,75.7,8,alabama,51.08,68.38,61.8,69.47,38.24,90.94,33.49,100.85,28.84,102.26,45.5,64.28
huntsville,96.5,20,alabama,78.48,83.05,85.82,89.31,108.58,101.99,96.75,146.78,244.09,106.45,96.43,97.79
irvington,96.4,11,alabama,69.78,30.58,33.52,45.24,50.89,45.12,50.96,37.38,43.91,59.79,91.92,69.95
jackson,68.2,10,alabama,35.84,62.82,30.45,31.82,24.28,69.81,76.6,5.15,2.53,40.41,144.5,7.8
jacksonville,93.7,10,alabama,58.88,56.51,77.34,90.46,77.14,102.19,102.57,104.05,290.6,72.75,69.66,93.73
jasper,92.1,9,alabama,53.52,59.25,55.54,57.46,57.5,40.12,40.28,74.61,65.43,108.77,117.75,112.96
jemison,76.8,10,alabama,11.86,8.28,16.21,17.72,26.19,33.86,41.04,40.44,82.74,72.66,138.26,95.49
killen,78.2,9,alabama,44.66,30.75,40.13,27.9,25.95,66.4,23.84,28.12,91.54,53.12,28.66,26.55
laceys-spring,80.6,10,alabama,63.06,6.02,80.15,10.69,110.07,110.56,26.24,41.44,318.89,30.56,36.38,312.17
lafayette,55.6,8,alabama,162.14,162.6,335.16,396.36,505.33,463.82,159.32,153.4,103.51,333.61,71.84,113.63
lanett,99.3,8,alabama,60.35,51.09,55.62,62.34,61.02,100.77,40.63,52.47,61.41,82.15,470.96,197.91
leeds,98.8,13,alabama,58.25,62.45,64.06,53.66,86.83,86.67,86.62,63.48,101.02,123.78,97.79,95.76
lincoln,18.5,9,alabama,16.45,24.77,24.98,9.69,98.91,82.29,42.27,54.02,53.15,55,56.67,62.23
lineville,41.3,8,alabama,5.13,11.06,1.4,18.25,61.6,100.68,28.14,0,12.97,3.97,0,6.16
livingston,75.7,9,alabama,95.78,170.76,50.01,51.56,37.52,49.15,70.28,90.44,107.67,94.96,57.93,78.61
loxley,96.3,11,alabama,63.32,21.29,32.56,8.88,99.39,62.63,92.77,43.46,96.52,171.92,99.61,89.74
luverne,79.5,9,alabama,75.94,177.5,57.25,270.71,121.5,41.28,40.19,9.84,43.5,74.97,89.23,88.94
madison,96.1,17,alabama,96.31,75.54,96.25,86.28,168.4,119.93,165.27,109.92,183.85,113.69,108.51,107.83
marion,3.3,11,alabama,24.15,27.7,13.55,32.6,26.51,25.32,23.35,19.77,0.83,25.93,12.8,3.37
maylene,99.9,10,alabama,57.97,103.11,82.18,95.76,97.98,159.89,58.33,95.87,122.14,87.4,107.12,147.45
mc-calla,96.4,9,alabama,43.33,285.65,114.38,51.59,252.18,307.93,210.44,123.48,143.24,63.01,71.43,15.88
meridianville,99.3,14,alabama,210.26,70.46,72.56,98.8,52.82,101.3,98.13,86.7,61.63,86.8,44.72,43.04
midland-city,83.9,11,alabama,79.05,25.74,68.02,46.5,40.44,67.7,96.61,59.61,95.39,102.88,238.95,62.23
millbrook,98.5,11,alabama,147.2,85.3,52.34,55.12,107.98,61.5,28.06,88.2,87.2,83.79,98.06,82.04
mobile,96.9,23,alabama,52.71,60.25,60.04,46.66,84.25,95.51,94.49,95.2,64.25,90.22,74.03,74.9
monroeville,93.1,6,alabama,61.5,49.91,59.84,78.59,134,65.39,46.1,67.05,64.98,78.03,79.49,66.11
montevallo,95.6,9,alabama,55.83,57.6,76.44,62.33,69.37,58.7,24.25,38.32,88.63,64.19,74.98,80.53
montgomery,99,21,alabama,67.29,61.56,109.01,95.97,95.23,82.6,65.99,64.77,67.59,91.85,98.48,87.97
moody,95.6,10,alabama,50.91,58.1,58.46,63.59,65.93,62.64,69.36,76.89,145.94,147.9,90.94,109.2
moulton,73.5,6,alabama,60.44,62.19,37.13,23.18,62.45,51.85,61.59,52.26,46.33,65.38,97.01,95.41
moundville,83.1,9,alabama,25.01,54.68,17.97,41.74,14.06,51.86,41.95,98.64,60.68,101.95,41.33,169.38
mount-olive,98.2,10,alabama,49.96,59.6,60.99,51.96,66.43,59.8,62.73,54.89,54.88,122.32,160.58,95.92
munford,51.6,10,alabama,16.51,58.91,51.6,109.15,25.62,19.64,23.57,20.41,28.46,44.47,19.4,40.83
muscle-shoals,90.3,9,alabama,43.35,60.78,71.5,46.13,50.42,51.09,75.05,62.32,57.29,65.14,70.41,63.95
nauvoo,20.6,7,alabama,1.25,3.84,0,0,6.46,0,6.61,0.21,0.54,15.07,25.81,8.3
new-hope,81.1,9,alabama,38.06,43,29.07,27.06,53.9,32.91,48.38,64.83,75.98,90.68,140.03,117.86
new-market,94.2,12,alabama,30.13,41.55,28.07,14.93,86.98,93.54,77.88,35.11,120.18,87.6,19.05,34
newton,57.8,10,alabama,88.77,27.11,15.43,22.17,48.37,25.66,14.96,50.69,13.35,82.45,33.24,73.39
northport,92.4,14,alabama,52.08,53.77,59.4,60.56,81.65,60.92,78.89,96.03,79.88,80.86,91.67,103.84
odenville,83.8,10,alabama,16.68,12.88,21.76,27.5,56.19,31.65,29.86,16.92,37.39,35.86,45.86,32.19
ohatchee,57.8,9,alabama,4.63,5.39,4.84,5.37,4.92,5.55,5.49,5.33,5.27,5.47,5.55,5.49
oneonta,86.1,8,alabama,20.43,13.61,11.3,11.37,11.83,16.73,24.1,24.03,11.15,15.63,11.46,17.07
opelika,94.5,15,alabama,39.95,60.79,42.14,60.94,49.8,57.25,46.72,57.19,61.79,76.86,74.25,72.67
opp,81.5,6,alabama,44.64,43.89,34.36,60.55,48.2,19.5,64.64,67.9,48.34,36.71,53.52,36.6
orange-beach,95.2,13,alabama,37.74,56.75,54.89,46.83,39.02,22.98,25.95,40.29,36.61,54.02,37,72.36
owens-cross-roads,97,11,alabama,57.25,95.65,99.87,102.39,104.12,121.05,91.92,66.56,66.6,100.35,95.91,94.64
oxford,99.6,11,alabama,87.22,53.89,49.04,97.61,83.11,90.97,81.92,45.34,30.43,78.8,64.62,93.47
ozark,98,8,alabama,14.73,23.51,39.99,38.02,45.48,45.97,59.29,62.79,47.62,90.15,110.45,69.02
pelham,99.7,12,alabama,64.18,86.89,74.68,102.26,70.84,72.66,89.54,82.2,77.63,127.99,112.18,96.9
pell-city,75,9,alabama,18.24,17.85,21.19,25.52,32.61,35.19,32.6,51.98,28.21,28.6,38.82,32.19
phenix-city,99.6,15,alabama,42.92,43.64,45.44,53.21,76.1,78.25,71.59,46.23,46.15,58.58,46.2,86.43
phil-campbell,37.8,8,alabama,4.81,0,13.84,9.83,14.78,0,0,0.54,0,0,0,0
piedmont,59.9,11,alabama,59.6,54.52,54.38,59.4,95.38,53.83,78.24,82.49,68.24,59.25,71.56,67.34
pike-road,86.6,11,alabama,33.59,54.13,51.27,45.81,60.71,48.35,57.05,75.09,77.84,110.21,96.75,65.28
pinson,94.3,9,alabama,36.77,51.24,62.31,41.58,57.03,55.85,56.25,45.45,68.3,57.12,61.05,50.52
pleasant-grove,99.7,8,alabama,60.07,58.82,57.2,75.32,62.58,104.84,101.34,71.79,77.43,82.44,79.33,95.19
prattville,91,14,alabama,57.44,60.7,86.38,85.07,93.68,78.72,80.74,84.94,63.95,101.08,103.5,98.6
rainbow-city,98.5,9,alabama,46.98,78.05,54.8,82.18,77.08,54.07,46.53,119.58,121.56,106.3,102.6,111.13
rainsville,100,7,alabama,58.99,65.43,82.4,74.38,83.8,235.52,69.17,68.2,75.51,90.24,72.05,81.94
roanoke,72.8,8,alabama,37.49,56.86,36.76,70.49,49.29,39.6,33.89,59.14,48.36,70.89,80.65,22.48
robertsdale,88.5,14,alabama,64.88,46.59,44.11,64.3,72.76,70.13,58.9,78.86,66.16,68.26,71.84,60.17
rogersville,0,8,alabama,14.52,22.7,14.79,19.41,12.73,12.73,35.22,11.92,16.84,13.25,14.63,14.98
russellville,76.8,9,alabama,60.38,64.41,59,85.87,61.27,60.43,54.99,54.49,87.71,82.71,74.5,104.14
salem,92.3,9,alabama,77.91,44.21,42.78,45.65,46.78,39.93,50.18,28.26,29.17,31.33,31.98,29.56
samson,42.5,9,alabama,0,24.8,19.89,347.48,82.87,128.62,84.44,26.89,113.2,103.01,86.97,82.01
saraland,97.8,14,alabama,63.13,56.07,69.27,51.6,46.39,52.73,69.65,50.79,52.15,95.32,78.37,49.51
satsuma,99.7,13,alabama,41.82,21.47,20.57,19.93,189.82,67.12,38.94,28.14,15.39,90.46,87.97,58.91
scottsboro,93.5,14,alabama,41.87,37.33,59.1,59.42,82.48,83.15,99.56,74.11,62.92,38.96,37.63,37.47
selma,89.7,13,alabama,53.6,46.97,49.29,53.96,60.66,57.57,59.79,54.67,45.41,152.71,239.07,175.23
semmes,98.7,15,alabama,42.72,43.44,57.48,84.76,66.39,58.21,20.65,33.39,16.24,36.19,9.37,10.14
sheffield,99.2,8,alabama,63.98,78.98,54.14,61.31,16.77,42.25,65.61,45.16,64.71,72.83,81.86,86.31
slocomb,52.3,9,alabama,32.99,12.55,57.92,85,37.41,85.96,0,0,23.68,51.55,0,192
smiths-station,98.4,8,alabama,113.4,36.87,58.5,52.02,40.11,46.51,52.28,70.97,71.02,43.27,75.31,247.58
somerville,90.4,11,alabama,62.25,47.89,62.11,52.72,45.87,60.37,60.5,58.42,44.05,102.35,69.1,40.46
spanish-fort,97.5,13,alabama,63.52,42.29,87.64,105.7,65.11,80.96,78.94,74.57,88.63,89.54,102.74,91.78
springville,81,11,alabama,15.79,46.44,63.11,61.66,98.49,60.54,57.53,55.88,55.72,73.32,53.31,50.34
sterrett,90.7,8,alabama,58.21,56.75,66.6,37.13,62.73,41.54,59.94,64.17,63.77,57.58,57.11,60.18
stevenson,70.3,10,alabama,42.74,36.92,44.48,42.81,53.98,300.76,29.6,72.53,43.83,39.26,42.95,45
summerdale,85,9,alabama,22.98,9.44,80.63,102.05,77.1,62.8,53.23,34.73,4.84,29.59,17.18,22.72
sylacauga,88.7,9,alabama,53.57,60.18,61.35,66.51,61.67,61.58,81.41,88.21,86.95,55.08,62.15,78.39
talladega,80.6,13,alabama,58.41,59.28,58.87,62.03,98.93,100.21,100.96,57.38,43.56,68.27,72.06,67.76
tallassee,89.9,11,alabama,68.67,66.25,82.72,61.17,79.69,66.69,65.16,59.21,178.79,70.97,64.89,71
theodore,98.7,15,alabama,42.49,55.05,51.13,39.45,57.63,37.14,32.79,50.94,17.1,26,58.07,46.22
thomasville,65.4,10,alabama,15.49,10.02,12.32,12.24,11.88,12.2,16.44,8.37,7.13,10,10.18,12.95
toney,98.3,14,alabama,49.06,65.91,59.84,68.44,69.9,102.31,96.33,107.85,96.33,62.16,86.25,70.36
town-creek,0,7,alabama,39.55,3.05,1.74,1.07,40.69,23.27,21.5,41.51,20.3,20.91,20.39,17.33
trinity,98.7,11,alabama,59.21,56.94,86.23,67.42,81.94,87.06,70.14,191.93,98.92,57.94,99.28,56.82
troy,3.8,16,alabama,19,44.5,58.59,59.05,45.85,48.36,58.15,48.47,49.06,67.17,89.17,63.37
trussville,98.5,15,alabama,51.17,59.56,60.02,60.34,61.05,84.45,70.98,79.49,121.74,123.22,114.96,91.75
tuscaloosa,94.3,15,alabama,65.97,67.29,63.65,65.79,76,63.54,88.35,67.04,92.35,94.56,88.6,83.1
tuscumbia,89,12,alabama,53.93,44.65,54.51,57.81,70.62,65.92,51.52,79.57,22.99,30.75,47.75,126.61
tuskegee,79,10,alabama,35.73,60.73,57.49,63.58,67.6,153.96,93.34,57.74,50.51,85.61,176.9,46.52
tuskegee-institute,100,8,alabama,15.25,72.78,46.76,123.5,31.01,80.44,79.99,51.79,75.06,109.68,103.46,22.02
union-grove,46.3,9,alabama,38.06,59.3,21.55,31.47,54.05,59.14,17.26,19.02,17.87,14.74,32.82,23.91
union-springs,0,5,alabama,5.71,6.58,9.8,6.61,13.16,16.95,9.85,280.55,148.27,81.56,79.03,80.96
valley,99.7,10,alabama,60.25,57.79,60.06,66.79,98.75,86.37,64.46,91.58,97.15,105.02,117.28,111.66
vinemont,76.1,8,alabama,34.56,67.9,65.81,93.61,65.5,68.95,61.22,66.91,68.03,74.3,64.49,71.1
warrior,95.2,11,alabama,52.95,45.88,47.12,59.65,75.55,91.13,65.16,59.32,63.6,94.23,91.39,89.7
weaver,100,9,alabama,66.41,54.2,108.59,140.13,151.66,100.76,100.97,118.83,152.35,174.53,139.77,142.35
west-blocton,54,8,alabama,39.94,15.8,101.34,19.67,51.34,11.72,14.87,14.47,11.14,63.52,67.14,51.68
wetumpka,92.8,11,alabama,82.21,61.6,94.2,88.73,102.43,105.34,79.99,78.64,91.22,73.48,75.65,73.1
wilmer,90.5,14,alabama,15.48,12.6,15.2,12.24,11.56,22.9,16.86,12.02,10,14.32,19.8,18.21
wilsonville,60.1,7,alabama,11.37,6.2,13.03,6.28,11.45,6.39,5.48,11.32,14.4,0.17,9.79,3.37
winfield,16.4,7,alabama,11.52,16.53,11.3,17.37,44.96,29.69,18.12,36.68,37.69,15.27,25.31,21.16
anchorage,98.7,11,alaska,76.34,65,80.79,93.87,87.7,112,108.38,110.96,100.88,62.33,60.26,57.99
barrow,0,4,alaska,0.42,0.8,7.54,5.88,5.69,4.18,2.29,4.33,8.23,4.53,3.72,3.57
bethel,0,4,alaska,5.31,4.99,5.5,5.42,5.69,5.52,5.52,5.55,5.54,5.62,5.65,5.32
chugiak,97.6,7,alaska,73,66.41,41.73,68.83,102.61,99.32,112.22,120.15,75.81,28.89,20.01,24.02
delta-junction,10.4,8,alaska,10.26,7.04,18.12,4.81,31.87,8.73,7.23,11.65,4.62,9.83,44.28,6.58
eagle-river,98.2,8,alaska,62.56,93.83,78.79,89.97,112.56,91.76,115.5,97.29,80.32,16.9,17.11,12.51
fairbanks,87,9,alaska,112.13,126.61,117.51,112.31,102.89,61.23,94.11,107.75,80.77,32.86,28.9,18.64
fort-wainwright,100,9,alaska,148.44,96.56,87.91,76.43,142.98,115.89,107.23,125.07,134.37,30.2,24.59,23.56
homer,63.5,6,alaska,31.37,25.15,21.06,27.45,9.63,18.24,19.35,28.12,23.69,16.35,14.46,15.28
jber,99.4,8,alaska,108.88,127.39,136.08,128.87,115.6,135.89,134.49,129.7,121.41,39.38,48.27,28.35
juneau,99.4,6,alaska,178.07,164.81,155.38,214.35,276.56,281.46,181.83,161.42,154.96,131.16,135.17,109.09
kenai,70.5,6,alaska,27.25,64.09,30.3,31.55,32.71,103.2,68.03,46.06,43.96,24.24,15.57,15.79
ketchikan,98.8,5,alaska,43.76,33.51,67.96,71.27,54.88,53.88,54.71,11.09,11.48,27.06,21.36,19.15
kodiak,91.2,5,alaska,52.4,94.3,29.5,81.51,86.5,80.39,92.21,82.34,92.77,39.77,32.04,25.49
nome,0,4,alaska,4.43,4.99,5.34,5.63,5.58,5.56,5.24,5.58,5.5,5.55,4.17,5.59
north-pole,96.7,9,alaska,55.66,58.04,58.91,71.59,111.9,111.72,112.54,75.38,98.11,38.15,25.36,14.87
palmer,93.1,6,alaska,74.41,88.94,57.81,60.85,61.83,121.37,79.21,112.02,83.23,26.57,28.81,15.5
seward,93.6,6,alaska,29.19,28.3,15.65,40.05,27.21,45.79,52.01,43.63,21.92,17.51,27.77,21.88
sitka,98,5,alaska,74.29,91.04,87.56,114.02,98.76,73.3,45.36,69.57,122.37,51.38,22.61,22.09
soldotna,71.9,5,alaska,33.37,40.25,17.74,25.97,21.91,63.98,26.39,59.32,34.09,14.17,19.69,35.94
unalaska,0,5,alaska,0,0.52,0.04,5.79,4.15,4.97,14.89,1.25,0.98,27.06,0.91,7.14
valdez,99.1,6,alaska,12.49,29.14,23.83,52.95,97.15,124.9,90.63,45.2,35.32,74.17,77.86,75.42
wasilla,92,6,alaska,40.18,38.54,50,44.73,45.28,74.53,41.64,60.25,47.69,26.28,15.49,13.66
ajo,75.5,7,arizona,20.92,14.67,15.61,13.47,86.98,14.33,42.71,16.64,16.04,10.25,11.2,25.36
apache-junction,83.7,14,arizona,58.11,46.56,49.88,47.2,54.32,55.55,52.37,35.67,48.48,55.52,40.9,62.57
